# © 2026 Ambika Analytics LLC Confidential and Proprietary Trade Secret – Not for Distribution
# Copyright (c) 2017-2026 Ambika Analytics LLC (https://acceleratedindexing.com/). All rights reserved.

AAPIS™ MONTE CARLO TEST: SCRAPE MODE
Started at: 22:20:06 4/27/2026

To establish a baseline, we performed a Monte Carlo stress test
where the AAPIS™ predictive signals were replaced with stochastic (random)
entries maintaining the same historical frequency.

======================================================================

[1/2] Capturing Base Case performance...
 >> Strategy CAGR:    22.38%
 >> Strategy Sortino: 1.21

[2/2] Running 1000 Random Iterations...
Iteration: 0001 | Random CAGR:  12.77% | Random Sortino:  0.72
Iteration: 0088 | Random CAGR:  12.67% | Random Sortino:  0.60
Iteration: 0089 | Random CAGR:  14.11% | Random Sortino:  0.80
Iteration: 0090 | Random CAGR:  11.63% | Random Sortino:  0.69
Iteration: 0091 | Random CAGR:   9.84% | Random Sortino:  0.58
Iteration: 0092 | Random CAGR:  13.36% | Random Sortino:  0.61
Iteration: 0093 | Random CAGR:  10.61% | Random Sortino:  0.50
Iteration: 0094 | Random CAGR:  14.27% | Random Sortino:  0.93
Iteration: 0095 | Random CAGR:  15.10% | Random Sortino:  0.83
Iteration: 0096 | Random CAGR:  10.49% | Random Sortino:  0.46
Iteration: 0097 | Random CAGR:   9.75% | Random Sortino:  0.55
Iteration: 0098 | Random CAGR:  11.97% | Random Sortino:  0.65
Iteration: 0099 | Random CAGR:  11.73% | Random Sortino:  0.64
Iteration: 0100 | Random CAGR:  14.39% | Random Sortino:  0.71
 ... 100 runs completed
Iteration: 0101 | Random CAGR:  14.91% | Random Sortino:  0.77
Iteration: 0102 | Random CAGR:  12.72% | Random Sortino:  0.72
Iteration: 0103 | Random CAGR:  13.13% | Random Sortino:  0.68
Iteration: 0104 | Random CAGR:   9.93% | Random Sortino:  0.48
Iteration: 0105 | Random CAGR:  15.69% | Random Sortino:  1.13
Iteration: 0106 | Random CAGR:   9.25% | Random Sortino:  0.50
Iteration: 0107 | Random CAGR:   9.34% | Random Sortino:  0.50
Iteration: 0108 | Random CAGR:   8.33% | Random Sortino:  0.45
Iteration: 0109 | Random CAGR:  18.70% | Random Sortino:  1.25
Iteration: 0110 | Random CAGR:  13.97% | Random Sortino:  0.85
Iteration: 0111 | Random CAGR:  12.34% | Random Sortino:  0.61
Iteration: 0112 | Random CAGR:  13.80% | Random Sortino:  0.63
Iteration: 0113 | Random CAGR:  10.91% | Random Sortino:  0.62
Iteration: 0114 | Random CAGR:  14.73% | Random Sortino:  0.77
Iteration: 0115 | Random CAGR:   8.49% | Random Sortino:  0.43
Iteration: 0116 | Random CAGR:  11.62% | Random Sortino:  0.58
Iteration: 0117 | Random CAGR:  10.47% | Random Sortino:  0.65
Iteration: 0118 | Random CAGR:  11.59% | Random Sortino:  0.59
Iteration: 0119 | Random CAGR:  14.94% | Random Sortino:  0.97
Iteration: 0120 | Random CAGR:   9.11% | Random Sortino:  0.53
Iteration: 0121 | Random CAGR:  13.56% | Random Sortino:  0.77
Iteration: 0122 | Random CAGR:  15.36% | Random Sortino:  0.71
Iteration: 0123 | Random CAGR:  12.67% | Random Sortino:  0.65
Iteration: 0124 | Random CAGR:  12.42% | Random Sortino:  0.61
Iteration: 0125 | Random CAGR:  11.53% | Random Sortino:  0.85
Iteration: 0126 | Random CAGR:  12.25% | Random Sortino:  0.66
Iteration: 0127 | Random CAGR:   9.82% | Random Sortino:  0.49
Iteration: 0128 | Random CAGR:   9.04% | Random Sortino:  0.48
Iteration: 0129 | Random CAGR:  12.75% | Random Sortino:  0.62
Iteration: 0130 | Random CAGR:  14.82% | Random Sortino:  0.69
Iteration: 0131 | Random CAGR:  13.49% | Random Sortino:  0.81
Iteration: 0132 | Random CAGR:   8.91% | Random Sortino:  0.47
Iteration: 0133 | Random CAGR:  11.61% | Random Sortino:  0.75
Iteration: 0134 | Random CAGR:  14.28% | Random Sortino:  0.70
Iteration: 0135 | Random CAGR:  12.03% | Random Sortino:  0.74
Iteration: 0136 | Random CAGR:  13.82% | Random Sortino:  0.74
Iteration: 0137 | Random CAGR:  16.06% | Random Sortino:  0.92
Iteration: 0138 | Random CAGR:  11.76% | Random Sortino:  0.62
Iteration: 0139 | Random CAGR:  11.44% | Random Sortino:  0.59
Iteration: 0140 | Random CAGR:  13.61% | Random Sortino:  0.65
Iteration: 0141 | Random CAGR:  13.37% | Random Sortino:  0.79
Iteration: 0142 | Random CAGR:  12.38% | Random Sortino:  0.56
Iteration: 0143 | Random CAGR:   9.62% | Random Sortino:  0.52
Iteration: 0144 | Random CAGR:  12.74% | Random Sortino:  0.61
Iteration: 0145 | Random CAGR:  17.49% | Random Sortino:  1.00
Iteration: 0146 | Random CAGR:  13.56% | Random Sortino:  0.78
Iteration: 0147 | Random CAGR:  11.72% | Random Sortino:  0.57
Iteration: 0148 | Random CAGR:  11.63% | Random Sortino:  0.62
Iteration: 0149 | Random CAGR:  13.78% | Random Sortino:  0.78
Iteration: 0150 | Random CAGR:  13.60% | Random Sortino:  0.65
Iteration: 0151 | Random CAGR:  14.38% | Random Sortino:  0.97
Iteration: 0152 | Random CAGR:  12.50% | Random Sortino:  0.83
Iteration: 0153 | Random CAGR:  11.71% | Random Sortino:  0.66
Iteration: 0154 | Random CAGR:  14.73% | Random Sortino:  0.90
Iteration: 0155 | Random CAGR:  12.04% | Random Sortino:  0.59
Iteration: 0156 | Random CAGR:  12.18% | Random Sortino:  0.70
Iteration: 0157 | Random CAGR:  11.44% | Random Sortino:  0.58
Iteration: 0158 | Random CAGR:  10.97% | Random Sortino:  0.59
Iteration: 0159 | Random CAGR:  15.40% | Random Sortino:  0.75
Iteration: 0160 | Random CAGR:  13.16% | Random Sortino:  0.61
Iteration: 0161 | Random CAGR:  13.16% | Random Sortino:  0.77
Iteration: 0162 | Random CAGR:  12.31% | Random Sortino:  0.69
Iteration: 0163 | Random CAGR:  11.56% | Random Sortino:  0.62
Iteration: 0164 | Random CAGR:  16.65% | Random Sortino:  0.89
Iteration: 0165 | Random CAGR:   8.83% | Random Sortino:  0.43
Iteration: 0166 | Random CAGR:  13.68% | Random Sortino:  0.81
Iteration: 0167 | Random CAGR:  14.81% | Random Sortino:  0.70
Iteration: 0168 | Random CAGR:  11.31% | Random Sortino:  0.63
Iteration: 0169 | Random CAGR:  14.28% | Random Sortino:  0.80
Iteration: 0170 | Random CAGR:  13.06% | Random Sortino:  0.65
Iteration: 0171 | Random CAGR:   9.50% | Random Sortino:  0.55
Iteration: 0172 | Random CAGR:  12.30% | Random Sortino:  0.75
Iteration: 0173 | Random CAGR:  11.41% | Random Sortino:  0.58
Iteration: 0174 | Random CAGR:  13.06% | Random Sortino:  0.59
Iteration: 0175 | Random CAGR:  13.73% | Random Sortino:  0.72
Iteration: 0176 | Random CAGR:   8.63% | Random Sortino:  0.45
Iteration: 0177 | Random CAGR:  14.64% | Random Sortino:  0.72
Iteration: 0178 | Random CAGR:  12.29% | Random Sortino:  0.68
Iteration: 0179 | Random CAGR:  11.40% | Random Sortino:  0.54
Iteration: 0180 | Random CAGR:  13.01% | Random Sortino:  0.72
Iteration: 0181 | Random CAGR:  12.05% | Random Sortino:  0.63
Iteration: 0182 | Random CAGR:  14.31% | Random Sortino:  0.68
Iteration: 0183 | Random CAGR:  10.62% | Random Sortino:  0.54
Iteration: 0184 | Random CAGR:  10.53% | Random Sortino:  0.56
Iteration: 0185 | Random CAGR:  14.80% | Random Sortino:  0.80
Iteration: 0186 | Random CAGR:  13.81% | Random Sortino:  0.66
Iteration: 0187 | Random CAGR:  10.81% | Random Sortino:  0.64
Iteration: 0188 | Random CAGR:  12.62% | Random Sortino:  0.71
Iteration: 0189 | Random CAGR:   8.19% | Random Sortino:  0.53
Iteration: 0190 | Random CAGR:  10.85% | Random Sortino:  0.63
Iteration: 0191 | Random CAGR:   9.70% | Random Sortino:  0.53
Iteration: 0192 | Random CAGR:  11.97% | Random Sortino:  0.60
Iteration: 0193 | Random CAGR:  13.78% | Random Sortino:  0.74
Iteration: 0194 | Random CAGR:  13.65% | Random Sortino:  0.72
Iteration: 0195 | Random CAGR:  14.21% | Random Sortino:  0.78
Iteration: 0196 | Random CAGR:  13.65% | Random Sortino:  0.71
Iteration: 0197 | Random CAGR:  14.12% | Random Sortino:  0.74
Iteration: 0198 | Random CAGR:  11.40% | Random Sortino:  0.57
Iteration: 0199 | Random CAGR:  10.32% | Random Sortino:  0.48
Iteration: 0200 | Random CAGR:  11.55% | Random Sortino:  0.54
 ... 200 runs completed
Iteration: 0201 | Random CAGR:  14.25% | Random Sortino:  0.82
Iteration: 0202 | Random CAGR:  12.37% | Random Sortino:  0.66
Iteration: 0203 | Random CAGR:  15.93% | Random Sortino:  1.02
Iteration: 0204 | Random CAGR:  14.10% | Random Sortino:  0.87
Iteration: 0205 | Random CAGR:  11.35% | Random Sortino:  0.67
Iteration: 0206 | Random CAGR:  11.09% | Random Sortino:  0.58
Iteration: 0207 | Random CAGR:  15.44% | Random Sortino:  0.86
Iteration: 0208 | Random CAGR:  10.96% | Random Sortino:  0.64
Iteration: 0209 | Random CAGR:   7.18% | Random Sortino:  0.42
Iteration: 0210 | Random CAGR:   8.06% | Random Sortino:  0.43
Iteration: 0211 | Random CAGR:  13.32% | Random Sortino:  0.73
Iteration: 0212 | Random CAGR:  11.41% | Random Sortino:  0.65
Iteration: 0213 | Random CAGR:  16.14% | Random Sortino:  0.89
Iteration: 0214 | Random CAGR:  12.83% | Random Sortino:  0.76
Iteration: 0215 | Random CAGR:  12.70% | Random Sortino:  0.71
Iteration: 0216 | Random CAGR:  10.77% | Random Sortino:  0.60
Iteration: 0217 | Random CAGR:   9.59% | Random Sortino:  0.58
Iteration: 0218 | Random CAGR:   9.36% | Random Sortino:  0.46
Iteration: 0219 | Random CAGR:   8.68% | Random Sortino:  0.45
Iteration: 0220 | Random CAGR:  14.44% | Random Sortino:  0.78
Iteration: 0221 | Random CAGR:  13.04% | Random Sortino:  0.72
Iteration: 0222 | Random CAGR:  13.30% | Random Sortino:  0.74
Iteration: 0223 | Random CAGR:  13.01% | Random Sortino:  0.78
Iteration: 0224 | Random CAGR:  19.95% | Random Sortino:  0.87
Iteration: 0225 | Random CAGR:  12.34% | Random Sortino:  0.66
Iteration: 0226 | Random CAGR:  15.96% | Random Sortino:  0.85
Iteration: 0227 | Random CAGR:  12.80% | Random Sortino:  0.70
Iteration: 0228 | Random CAGR:  14.34% | Random Sortino:  0.84
Iteration: 0229 | Random CAGR:  17.28% | Random Sortino:  0.93
Iteration: 0230 | Random CAGR:  11.86% | Random Sortino:  0.60
Iteration: 0231 | Random CAGR:   9.45% | Random Sortino:  0.48
Iteration: 0232 | Random CAGR:  14.20% | Random Sortino:  0.74
Iteration: 0233 | Random CAGR:  14.04% | Random Sortino:  0.73
Iteration: 0234 | Random CAGR:   7.29% | Random Sortino:  0.44
Iteration: 0235 | Random CAGR:  13.59% | Random Sortino:  0.83
Iteration: 0236 | Random CAGR:  11.28% | Random Sortino:  0.66
Iteration: 0237 | Random CAGR:   9.70% | Random Sortino:  0.55
Iteration: 0238 | Random CAGR:  11.33% | Random Sortino:  0.61
Iteration: 0239 | Random CAGR:   9.97% | Random Sortino:  0.56
Iteration: 0240 | Random CAGR:  12.09% | Random Sortino:  0.61
Iteration: 0241 | Random CAGR:  13.99% | Random Sortino:  0.76
Iteration: 0242 | Random CAGR:  15.72% | Random Sortino:  0.89
Iteration: 0243 | Random CAGR:  15.24% | Random Sortino:  0.92
Iteration: 0244 | Random CAGR:  13.84% | Random Sortino:  0.84
Iteration: 0245 | Random CAGR:  15.48% | Random Sortino:  0.81
Iteration: 0246 | Random CAGR:  13.99% | Random Sortino:  0.91
Iteration: 0247 | Random CAGR:  15.13% | Random Sortino:  0.79
Iteration: 0248 | Random CAGR:  15.34% | Random Sortino:  0.70
Iteration: 0249 | Random CAGR:  11.53% | Random Sortino:  0.64
Iteration: 0250 | Random CAGR:  13.86% | Random Sortino:  0.73
Iteration: 0251 | Random CAGR:  11.43% | Random Sortino:  0.64
Iteration: 0252 | Random CAGR:  13.86% | Random Sortino:  0.75
Iteration: 0253 | Random CAGR:  12.76% | Random Sortino:  0.75
Iteration: 0254 | Random CAGR:  12.52% | Random Sortino:  0.61
Iteration: 0255 | Random CAGR:  10.25% | Random Sortino:  0.60
Iteration: 0256 | Random CAGR:  12.79% | Random Sortino:  0.69
Iteration: 0257 | Random CAGR:   7.39% | Random Sortino:  0.39
Iteration: 0258 | Random CAGR:  17.53% | Random Sortino:  0.98
Iteration: 0259 | Random CAGR:  11.35% | Random Sortino:  0.58
Iteration: 0260 | Random CAGR:  12.14% | Random Sortino:  0.76
Iteration: 0261 | Random CAGR:  12.02% | Random Sortino:  0.69
Iteration: 0262 | Random CAGR:  10.48% | Random Sortino:  0.62
Iteration: 0263 | Random CAGR:  14.19% | Random Sortino:  0.96
Iteration: 0264 | Random CAGR:  12.93% | Random Sortino:  0.70
Iteration: 0265 | Random CAGR:  13.59% | Random Sortino:  0.82
Iteration: 0266 | Random CAGR:   9.06% | Random Sortino:  0.42
Iteration: 0267 | Random CAGR:  11.32% | Random Sortino:  0.60
Iteration: 0268 | Random CAGR:   9.68% | Random Sortino:  0.54
Iteration: 0269 | Random CAGR:   9.53% | Random Sortino:  0.54
Iteration: 0270 | Random CAGR:  15.78% | Random Sortino:  0.82
Iteration: 0271 | Random CAGR:   8.75% | Random Sortino:  0.55
Iteration: 0272 | Random CAGR:  13.29% | Random Sortino:  0.67
Iteration: 0273 | Random CAGR:  12.48% | Random Sortino:  0.65
Iteration: 0274 | Random CAGR:   9.80% | Random Sortino:  0.51
Iteration: 0275 | Random CAGR:  10.61% | Random Sortino:  0.51
Iteration: 0276 | Random CAGR:  15.75% | Random Sortino:  0.98
Iteration: 0277 | Random CAGR:  13.55% | Random Sortino:  0.63
Iteration: 0278 | Random CAGR:   9.41% | Random Sortino:  0.48
Iteration: 0279 | Random CAGR:  13.31% | Random Sortino:  0.65
Iteration: 0280 | Random CAGR:   9.02% | Random Sortino:  0.45
Iteration: 0281 | Random CAGR:  13.29% | Random Sortino:  0.73
Iteration: 0282 | Random CAGR:  14.60% | Random Sortino:  0.71
Iteration: 0283 | Random CAGR:  12.26% | Random Sortino:  0.69
Iteration: 0284 | Random CAGR:  11.32% | Random Sortino:  0.63
Iteration: 0285 | Random CAGR:   9.29% | Random Sortino:  0.53
Iteration: 0286 | Random CAGR:  13.93% | Random Sortino:  0.73
Iteration: 0287 | Random CAGR:  14.67% | Random Sortino:  0.91
Iteration: 0288 | Random CAGR:  14.87% | Random Sortino:  0.82
Iteration: 0289 | Random CAGR:  11.49% | Random Sortino:  0.51
Iteration: 0290 | Random CAGR:  13.41% | Random Sortino:  0.82
Iteration: 0291 | Random CAGR:  11.85% | Random Sortino:  0.67
Iteration: 0292 | Random CAGR:  12.81% | Random Sortino:  0.67
Iteration: 0293 | Random CAGR:  13.77% | Random Sortino:  0.86
Iteration: 0294 | Random CAGR:   7.26% | Random Sortino:  0.45
Iteration: 0295 | Random CAGR:  14.99% | Random Sortino:  0.77
Iteration: 0296 | Random CAGR:   9.09% | Random Sortino:  0.48
Iteration: 0297 | Random CAGR:  17.31% | Random Sortino:  1.12
Iteration: 0298 | Random CAGR:  15.26% | Random Sortino:  0.83
Iteration: 0299 | Random CAGR:  15.21% | Random Sortino:  0.62
Iteration: 0300 | Random CAGR:  12.82% | Random Sortino:  0.78
 ... 300 runs completed
Iteration: 0301 | Random CAGR:  11.67% | Random Sortino:  0.65
Iteration: 0302 | Random CAGR:   7.79% | Random Sortino:  0.47
Iteration: 0303 | Random CAGR:  12.60% | Random Sortino:  0.60
Iteration: 0304 | Random CAGR:  13.27% | Random Sortino:  0.63
Iteration: 0305 | Random CAGR:  11.18% | Random Sortino:  0.59
Iteration: 0306 | Random CAGR:  17.56% | Random Sortino:  1.14
Iteration: 0307 | Random CAGR:  16.61% | Random Sortino:  0.83
Iteration: 0308 | Random CAGR:  10.00% | Random Sortino:  0.51
Iteration: 0309 | Random CAGR:  13.94% | Random Sortino:  0.73
Iteration: 0310 | Random CAGR:  14.08% | Random Sortino:  0.74
Iteration: 0311 | Random CAGR:  13.28% | Random Sortino:  0.70
Iteration: 0312 | Random CAGR:  11.80% | Random Sortino:  0.58
Iteration: 0313 | Random CAGR:  12.14% | Random Sortino:  0.52
Iteration: 0314 | Random CAGR:  17.24% | Random Sortino:  0.96
Iteration: 0315 | Random CAGR:  12.66% | Random Sortino:  0.62
Iteration: 0316 | Random CAGR:  10.91% | Random Sortino:  0.62
Iteration: 0317 | Random CAGR:  13.51% | Random Sortino:  0.77
Iteration: 0318 | Random CAGR:  14.94% | Random Sortino:  0.79
Iteration: 0319 | Random CAGR:  11.02% | Random Sortino:  0.57
Iteration: 0320 | Random CAGR:  10.07% | Random Sortino:  0.48
Iteration: 0321 | Random CAGR:  12.22% | Random Sortino:  0.68
Iteration: 0322 | Random CAGR:  11.90% | Random Sortino:  0.66
Iteration: 0323 | Random CAGR:  13.25% | Random Sortino:  0.65
Iteration: 0324 | Random CAGR:  13.58% | Random Sortino:  0.70
Iteration: 0325 | Random CAGR:  12.19% | Random Sortino:  0.67
Iteration: 0326 | Random CAGR:  11.46% | Random Sortino:  0.68
Iteration: 0327 | Random CAGR:   9.86% | Random Sortino:  0.63
Iteration: 0328 | Random CAGR:  13.89% | Random Sortino:  0.71
Iteration: 0329 | Random CAGR:  11.98% | Random Sortino:  0.67
Iteration: 0330 | Random CAGR:  10.94% | Random Sortino:  0.64
Iteration: 0331 | Random CAGR:   9.05% | Random Sortino:  0.50
Iteration: 0332 | Random CAGR:  14.27% | Random Sortino:  0.96
Iteration: 0333 | Random CAGR:   6.74% | Random Sortino:  0.36
Iteration: 0334 | Random CAGR:  13.96% | Random Sortino:  0.66
Iteration: 0335 | Random CAGR:   7.49% | Random Sortino:  0.39
Iteration: 0336 | Random CAGR:  12.24% | Random Sortino:  0.65
Iteration: 0337 | Random CAGR:  12.13% | Random Sortino:  0.68
Iteration: 0338 | Random CAGR:   8.33% | Random Sortino:  0.43
Iteration: 0339 | Random CAGR:  17.40% | Random Sortino:  0.81
Iteration: 0340 | Random CAGR:  11.67% | Random Sortino:  0.59
Iteration: 0341 | Random CAGR:  12.61% | Random Sortino:  0.76
Iteration: 0342 | Random CAGR:  14.62% | Random Sortino:  0.82
Iteration: 0343 | Random CAGR:  14.26% | Random Sortino:  0.87
Iteration: 0344 | Random CAGR:  13.07% | Random Sortino:  0.63
Iteration: 0345 | Random CAGR:  13.71% | Random Sortino:  0.81
Iteration: 0346 | Random CAGR:  12.55% | Random Sortino:  0.76
Iteration: 0347 | Random CAGR:  12.42% | Random Sortino:  0.65
Iteration: 0348 | Random CAGR:  11.10% | Random Sortino:  0.51
Iteration: 0349 | Random CAGR:  12.89% | Random Sortino:  0.70
Iteration: 0350 | Random CAGR:  10.82% | Random Sortino:  0.64
Iteration: 0351 | Random CAGR:  12.43% | Random Sortino:  0.64
Iteration: 0352 | Random CAGR:  13.34% | Random Sortino:  0.70
Iteration: 0353 | Random CAGR:  14.28% | Random Sortino:  0.71
Iteration: 0354 | Random CAGR:  12.03% | Random Sortino:  0.71
Iteration: 0355 | Random CAGR:  14.83% | Random Sortino:  0.80
Iteration: 0356 | Random CAGR:  15.71% | Random Sortino:  0.79
Iteration: 0357 | Random CAGR:  16.13% | Random Sortino:  0.79
Iteration: 0358 | Random CAGR:  10.90% | Random Sortino:  0.73
Iteration: 0359 | Random CAGR:  13.49% | Random Sortino:  0.70
Iteration: 0360 | Random CAGR:  10.12% | Random Sortino:  0.50
Iteration: 0361 | Random CAGR:  12.24% | Random Sortino:  0.66
Iteration: 0362 | Random CAGR:   9.92% | Random Sortino:  0.56
Iteration: 0363 | Random CAGR:  13.07% | Random Sortino:  0.66
Iteration: 0364 | Random CAGR:  10.45% | Random Sortino:  0.56
Iteration: 0365 | Random CAGR:  13.81% | Random Sortino:  0.68
Iteration: 0366 | Random CAGR:  14.37% | Random Sortino:  0.73
Iteration: 0367 | Random CAGR:  11.44% | Random Sortino:  0.64
Iteration: 0368 | Random CAGR:  12.54% | Random Sortino:  0.71
Iteration: 0369 | Random CAGR:  12.78% | Random Sortino:  0.68
Iteration: 0370 | Random CAGR:  12.40% | Random Sortino:  0.71
Iteration: 0371 | Random CAGR:   8.82% | Random Sortino:  0.40
Iteration: 0372 | Random CAGR:  12.09% | Random Sortino:  0.60
Iteration: 0373 | Random CAGR:  12.43% | Random Sortino:  0.60
Iteration: 0374 | Random CAGR:   7.91% | Random Sortino:  0.43
Iteration: 0375 | Random CAGR:   7.30% | Random Sortino:  0.38
Iteration: 0376 | Random CAGR:  12.42% | Random Sortino:  0.69
Iteration: 0377 | Random CAGR:  14.84% | Random Sortino:  0.76
Iteration: 0378 | Random CAGR:  12.96% | Random Sortino:  0.67
Iteration: 0379 | Random CAGR:  14.52% | Random Sortino:  0.71
Iteration: 0380 | Random CAGR:  15.94% | Random Sortino:  0.70
Iteration: 0381 | Random CAGR:  13.41% | Random Sortino:  0.66
Iteration: 0382 | Random CAGR:  11.43% | Random Sortino:  0.59
